ciudad,codigo,UE,A111A,H001A,J000A,A121A,Q000A,Q000B,A700A,A131A
01001,31-33,4166,279752.625,75556.0,13735.231,151033.904,140518.323,8023.255,154754.157,128718.721
01001,311,1178,22718.576,9684.0,1311.559,14711.041,4351.597,300.432,15956.521,8007.535
01001,3114,13,3482.829,1273.0,261.704,2375.397,481.25,13.129,2768.106,1107.432
01001,3115,204,6316.051,2440.0,350.104,4302.932,1173.909,107.011,4923.344,2013.119
01001,31151,71,6155.883,1935.0,323.507,4208.746,1041.831,96.289,4828.525,1947.137
01001,3116,15,5189.476,1309.0,287.129,3240.607,1442.664,78.279,3328.757,1948.869
01001,31161,15,5189.476,1309.0,287.129,3240.607,1442.664,78.279,3328.757,1948.869
01001,311612,2,,,,,,,,
01001,311613,7,8.394,18.0,0.531,5.539,2.655,0.386,5.619,2.855
01001,3118,810,1549.329,3648.0,268.177,926.438,606.379,55.306,944.62,622.891
01001,31181,423,884.913,2203.0,181.139,523.35,298.789,28.31,535.018,361.563
01001,311812,383,834.4,2046.0,170.544,492.806,276.883,26.085,504.225,341.594
01001,31183,371,636.013,1351.0,79.667,385.805,288.997,25.561,392.293,250.208
01001,3119,98,573.414,464.0,34.713,358.432,75.534,13.401,359.229,214.982
01001,31192,5,,,,,,,,
01001,312,147,6222.391,2114.0,564.152,3210.855,2139.515,156.522,3288.813,3011.536
01001,3121,147,6222.391,2114.0,564.152,3210.855,2139.515,156.522,3288.813,3011.536
01001,31211,147,6222.391,2114.0,564.152,3210.855,2139.515,156.522,3288.813,3011.536
01001,325,50,259.624,286.0,27.138,140.117,40.375,5.262,142.589,119.507
01001,3254,4,,,,,,,,
01001,327,176,2628.088,1791.0,385.869,1718.151,903.267,21.49,1735.776,909.937
01001,3273,24,743.862,235.0,36.759,455.053,71.692,8.361,462.252,288.809
01001,3274,8,,,,,,,,
01001,331,20,1516.483,425.0,106.555,903.555,79.897,7.904,961.99,612.928
01001,3312,5,,,,,,,,
01001,33122,4,,,,,,,,
