"Instituto Nacional de Estadística y Geografía",
"Consulta en línea de los precios promedio del INPC ",
"Publicados en el diario oficial de la Federación mensualmente ",
"Fecha de consulta: 17/09/2026 10:13:35",

"Año","Mes","Fecha_Pub_DOF","Clave ciudad","Nombre ciudad","División","Grupo","Clase","Subclase","Clave genérico","Genérico","Consecutivo","Especificación","Precio promedio","Cantidad","Unidad","Estatus"
"2014","11","22/12/2014 12:00:00 a. m.","01","Área Met. de la Cd. de México"," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","020","BIMBO, BLANCO, BOLSA DE 640 GR","37.5","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","02","Mérida, Yuc."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","001","WONDER, INTEGRAL, 100%, BOLSA DE 567 GR","45.86","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","02","Mérida, Yuc."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","002","BIMBO, TOSTADO, BOLSA DE 210 GR","80.95","1","KG","DESENCADENADO"
"2014","11","22/12/2014 12:00:00 a. m.","02","Mérida, Yuc."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","003","BIMBO, INTEGRAL, DOBLE FIBRA, BOLSA DE 567 GR","48.19","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","02","Mérida, Yuc."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","004","BIMBO, BLANCO, PAQ DE 2 BOLSAS DE 680 GR C/U","30.99","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","03","Morelia, Mich."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","001","BIMBO, TOSTADO, BOLSA DE 210 GR","85.71","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","03","Morelia, Mich."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","002","WONDER, BOLLOS, SUPER BOLLOS, BOLSA C/8 PZAS DE 540 GR","55.56","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","03","Morelia, Mich."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","003","BIMBO, BLANCO, BOLSA DE 680 GR","38.24","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","03","Morelia, Mich."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","004","WONDER, INTEGRAL, 100%, BOLSA DE 567 GR","45.86","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","04","Guadalajara, Jal."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","001","OROWEAT, INTEGRAL, 100%, BOLSA DE 680 GR","55.88","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","04","Guadalajara, Jal."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","002","WONDER, INTEGRAL, 100%, BOLSA DE 567 GR","45.86","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","04","Guadalajara, Jal."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","003","OROWEAT, MULTIGRANO, 12 GRANOS, BOLSA DE 680 GR","53","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","04","Guadalajara, Jal."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","004","BIMBO, TOSTADO, BOLSA DE 210 GR","95.24","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","04","Guadalajara, Jal."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","005","C EST SI BON, INTEGRAL, ULTRAGRANO, BOLSA DE 600 GR","60","1","KG",""
"2014","11","22/12/2014 12:00:00 a. m.","04","Guadalajara, Jal."," 1. Alimentos, bebidas y tabaco"," 1.1. Alimentos"," 1.1.1. Pan, tortillas y cereales"," 02 Pan","007","Pan de caja","006","WONDER, INTEGRAL, BOLSA DE 680 GR","36.86","1","KG",""
