503492101	10050	0	1.95
1800561102	10020	0	1.95
2760494210	18002	432.58	435.48
2760494210	18001	722.9	725.8
1910164515	3007	42	45
1000614901	13017	0	3.91
3100288101	10029	0	5.86
1910164515	3003	36	45
3101588601	4007	36	45
1910164515	3001	57	66
600784805	10030	0	9.78
1000297601	10021	0	9.78
1000297601	10026	0	9.78
1060635713	10026	0	9.78
1800420702	10030	0	9.78
1800719905	10053	0	9.78
1860383314	10059	0	9.78
2460338615	10030	0	9.78
2460338619	10030	0	9.78
3008027510	8126	0	9.78
2200340603	8036	58.69	70.42
1461254408	10030	0	11.73
1461254803	10054	0	11.73
1800791504	3009	0	12
2701351137	1167	0	12.85
2701351137	1167	0	12.85
2701351137	1167	0	12.85
3160253203	10010	0	13.69
3160253205	10035	0	13.69
400750103	3009	0	14.51
506669301	3002	0	14.51
401031805	10050	0	14.67
1002149404	10055	0	14.67
1002190804	10026	0	14.67
1404853804	10020	0	14.67
2104970701	10031	0	14.67
2402640704	10027	0	14.67
2601876201	10030	0	14.67
3103777119	10024	0	14.67
3160253416	10030	0	14.67
3260357211	10030	0	14.67
1860227314	10026	0	16.63
3103169805	3016	0	17.41
3160253203	10010	0	17.6
1910164515	3005	36	54
1910164515	4014	66	84
2503055503	3006	0	18
2901122613	4014	0	18
600997302	1004	70.71	89.99
600997302	1004	70.71	89.99
600997302	1004	70.71	89.99
600997302	1004	70.71	89.99
600997302	1004	70.71	89.99
600997302	1004	70.71	89.99
2200340603	8028	97.82	117.38
401031805	10045	0	19.56
502356704	10031	0	19.56
801021204	10030	0	19.56
1409909202	10027	0	19.56
1701184504	10021	0	19.56
1800297801	10026	0	19.56
1903234801	10033	0	19.56
1903938802	10053	0	19.56
2107756505	10025	0	19.56
2460338615	10023	0	19.56
2504703411	10020	0	19.56
2806339403	10021	0	19.56
2806339403	10026	0	19.56
3103777119	10028	0	19.56
3103777119	10029	0	19.56
3160253205	10030	0	19.56
3160253418	10020	0	19.56
3160425212	10026	0	19.56
3260357211	10027	0	19.56
3260357211	10029	0	19.56
3103169805	3003	0	20.32
1800719905	10051	0	20.54
506669301	3003	0	23.22
2200340603	8040	117.39	140.86
1002190804	10021	0	23.47
3160253418	10030	0	23.47
1910164515	4001	48	72
1001084704	3004	0	24
3200936603	3016	0	24
910399905	10027	0	24.45
911735502	10021	0	24.45
911735502	10026	0	24.45
1800420702	10024	0	24.45
1801539320	10027	0	24.45
1801539320	10028	0	24.45
2701265917	10025	0	24.45
3100837205	10016	0	24.45
3102845202	10029	0	24.45
3103777116	10027	0	24.45
3160253310	8067	0	24.45
2200340603	8029	127.17	152.6
1800657604	10029	0	25.43
102263419	1244	167.14	192.85
102263419	1244	167.14	192.85
1860229404	1112	0	25.71
1860229404	1112	0	25.71
1860229404	1112	0	25.71
2701351137	1160	0	25.71
2701351137	1160	0	25.71
2701351137	1160	0	25.71
3101992502	1173	0	25.71
1800719905	10044	0	28.36
600859905	8134	293.47	322.81
400303203	10016	0	29.34
601194205	10053	0	29.34
601451315	10010	0	29.34
702646111	10016	0	29.34
801021202	10029	0	29.34
910399905	10016	0	29.34
911735502	10026	0	29.34
918513401	10016	0	29.34
1000297601	10024	0	29.34
1000297601	10028	0	29.34
1001136905	10016	0	29.34
1002854415	10016	0	29.34
1060239914	10016	0	29.34
1060383420	10016	0	29.34
1200288702	10016	0	29.34
1200288705	10007	0	29.34
1201199903	10016	0	29.34
1260416317	10016	0	29.34
1301359801	10016	0	29.34
1410479319	10025	0	29.34
1410479319	10029	0	29.34
1460467803	10026	0	29.34
1511810905	10021	0	29.34
1525471519	10026	0	29.34
1525471520	10016	0	29.34
1602769502	10016	0	29.34
1701184501	10016	0	29.34
1701184504	10016	0	29.34
1701875404	10016	0	29.34
1800297801	10016	0	29.34
1800297801	10016	0	29.34
1800519903	10016	0	29.34
1800584202	10018	0	29.34
1800971805	10035	0	29.34
1801050114	10030	0	29.34
1801606406	10016	0	29.34
1801624512	10030	0	29.34
1900333702	10016	0	29.34
1904910203	10016	0	29.34
1910164805	10016	0	29.34
2100556904	10016	0	29.34
2100556904	10016	0	29.34
2100556904	10016	0	29.34
2103628905	10046	0	29.34
2161421906	10016	0	29.34
2161421906	10016	0	29.34
2302975707	10016	0	29.34
2560224310	10033	0	29.34
2602506404	10016	0	29.34
2602930604	10016	0	29.34
2700427403	10053	0	29.34
2701351921	10016	0	29.34
2701351921	10016	0	29.34
2701351921	10016	0	29.34
2760241113	10016	0	29.34
2806339403	10024	0	29.34
2806839905	10016	0	29.34
2807097501	10016	0	29.34
3000784101	10016	0	29.34
3000784104	10007	0	29.34
3100546505	10026	0	29.34
3101485304	10025	0	29.34
3101580501	10016	0	29.34
3101580501	10016	0	29.34
3102016803	10031	0	29.34
3103777117	10002	0	29.34
3160253203	10007	0	29.34
3160425215	10033	0	29.34
1910164515	4005	66	96
1060383604	3005	0	30
2200340603	3003	0	30
3101992502	3006	0	30
1060383604	3003	0	33
1404853804	10030	0	33.26
400965703	10016	0	34.23
501422505	10052	0	34.23
502356704	10029	0	34.23
502913802	10016	0	34.23
502913802	10016	0	34.23
502913805	10016	0	34.23
506013902	10016	0	34.23
1001625901	10010	0	34.23
1001751603	10026	0	34.23
1409909205	10031	0	34.23
1461254408	10021	0	34.23
1515531504	10016	0	34.23
1910205505	10016	0	34.23
1910205505	10016	0	34.23
2105714504	10023	0	34.23
2300306203	10021	0	34.23
2302015804	10016	0	34.23
2760241111	10016	0	34.23
3100139404	10016	0	34.23
3100288103	10016	0	34.23
3100288105	10027	0	34.23
3160249920	10016	0	34.23
3160253202	10016	0	34.23
3160425215	10031	0	34.23
1301033401	4014	0	34.83
1602677102	4014	0	34.83
3103169805	3019	0	34.83
1001084704	4005	0	36
1060383604	3002	0	36
1060383604	4001	0	36
2503055503	3003	0	36
912835404	3002	0	37.74
2107474414	4001	0	37.74
3103777813	4004	0	37.74
560196201	1244	282.85	321.42
560196201	1244	282.85	321.42
1860229404	1005	0	38.57
1860229404	1013	0	38.57
1860229404	1013	0	38.57
1860229404	1112	0	38.57
1860229404	1124	0	38.57
1860229404	1124	0	38.57
1860229404	1124	0	38.57
1860229404	1124	0	38.57
600784805	10026	0	39.13
600784805	10027	0	39.13
702498315	10030	0	39.13
804093704	8069	0	39.13
808955407	10020	0	39.13
1000578802	10009	0	39.13
1000578802	10009	0	39.13
1800584202	10016	0	39.13
1800657601	10029	0	39.13
1860029309	10016	0	39.13
2001370310	10016	0	39.13
2103628905	10044	0	39.13
2105714504	10025	0	39.13
2400423901	10016	0	39.13
2400423902	10016	0	39.13
2400423903	10016	0	39.13
2400423903	10029	0	39.13
2401221601	10032	0	39.13
2403131901	10029	0	39.13
2603724204	13001	0	39.13
2701407817	10016	0	39.13
2806839905	10020	0	39.13
3100288105	10030	0	39.13
3102438305	10033	0	39.13
3103777116	10030	0	39.13
3160425215	10032	0	39.13
2760205515	13001	0	39.34
2107474414	3001	0	40.64
3001754305	4001	0	40.64
3103169805	3004	0	43.54
3103777813	4001	0	43.54
3103777813	4005	0	43.54
3103777813	4014	0	43.54
2300306203	10025	0	44.02
3260533405	14005	0	44.02
912835402	1215	0	44.99
912835402	1215	0	44.99
912835402	1215	0	44.99
912835402	1215	0	44.99
912835402	1215	0	44.99
501422505	3005	0	45
1060383604	4003	0	45
1410479105	10020	0	47.93
1001084704	4003	0	48
1001084704	4014	0	48
1800791504	4001	0	48
1510611604	10032	48.91	97.82
2701363634	10021	146.73	195.64
300729912	13003	0	48.91
301106906	10016	0	48.91
400345901	10016	0	48.91
400345901	10020	0	48.91
400469504	10016	0	48.91
400469504	10016	0	48.91
401047202	10028	0	48.91
500336904	10030	0	48.91
500336904	10030	0	48.91
506161501	10026	0	48.91
506161501	10029	0	48.91
600725501	10023	0	48.91
601255712	10010	0	48.91
601255712	10030	0	48.91
601315716	8057	0	48.91
701464203	10016	0	48.91
702646113	10020	0	48.91
800428703	10055	0	48.91
801496202	10026	0	48.91
801496202	10026	0	48.91
801641905	10016	0	48.91
905085802	10024	0	48.91
905085802	10026	0	48.91
911735502	10024	0	48.91
919093603	10026	0	48.91
919093603	10027	0	48.91
1000383801	10016	0	48.91
1001125801	10016	0	48.91
1001317505	10030	0	48.91
1002159303	10030	0	48.91
1100539705	10050	0	48.91
1160814601	10024	0	48.91
1203066304	10026	0	48.91
1203584806	10030	0	48.91
1204469612	10016	0	48.91
1409536304	10016	0	48.91
1411513614	10016	0	48.91
1411542214	10016	0	48.91
1514180802	10016	0	48.91
1604259801	10031	0	48.91
1604259801	10032	0	48.91
1800297801	10026	0	48.91
1800297801	10025	0	48.91
1801539320	10016	0	48.91
1903234801	10031	0	48.91
1903234801	10036	0	48.91
1903486505	10056	0	48.91
1903653304	10031	0	48.91
1903938802	10016	0	48.91
1904910204	10016	0	48.91
1907995404	10016	0	48.91
1909398604	10016	0	48.91
1909658702	10016	0	48.91
1910164805	10026	0	48.91
1910164919	10016	0	48.91
1910164920	10016	0	48.91
1910205505	10025	0	48.91
2061406606	10020	0	48.91
2103628905	10048	0	48.91
2107379620	10016	0	48.91
2202969710	10024	0	48.91
2202969710	10030	0	48.91
2300835705	10016	0	48.91
2301321803	10016	0	48.91
2301321803	10016	0	48.91
2301978901	10016	0	48.91
2302015804	10020	0	48.91
2400920704	10033	0	48.91
2401221601	10035	0	48.91
2403131903	10024	0	48.91
2403131904	10030	0	48.91
2560224310	10027	0	48.91
2602506404	10024	0	48.91
2605080204	9005	0	48.91
2700530401	10016	0	48.91
2700968415	10016	0	48.91
2700968415	10016	0	48.91
2701265917	10021	0	48.91
2760676908	10032	0	48.91
2800353905	10016	0	48.91
2801331605	10026	0	48.91
2860062809	10016	0	48.91
3000784104	10009	0	48.91
3060488602	10016	0	48.91
3100209501	10016	0	48.91
3100209501	10033	0	48.91
3100288101	10020	0	48.91
3100520202	10016	0	48.91
3102845202	10033	0	48.91
3160253202	10035	0	48.91
3160253203	10010	0	48.91
3160253310	8131	0	48.91
3160253310	10035	0	48.91
