100008302	10010001	1	4	5	670	694	3	2	77	8	2	1	1	2	0	0	2	0	2	0	39786.79	39786.79	28173.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3521.73	0	3521.73	24652.16	24652.16	0	0	0	0	0	11612.9	0	0	0	0	0	11612.9	0	0	0	0	0	0	45101.25	45101.25	33488.35	11172.63	11172.63	681.4	51.42	0	758.56	141.42	0	0	282.83	1619.96	0	0	0	7637.04	0	0	0	401.08	0	401.08	2199.32	0	505	294	1400.32	1002.97	513.85	0	489.12	1401.83	1369.55	0	32.28	5490.71	0	0	0	4380.71	1956.52	2424.19	1110	900	0	900	0	613.36	438.36	0	175	10306.45	0	0	0	0	0	0	0	0	0	0	0	0	5739.3	1	1	1
100008303	10010001	1	4	5	670	694	1	1	64	6	1	1	0	1	0	1	0	0	1	0	25393.46	19523.9	11739.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11739.13	0	0	0	0	11739.13	0	7784.77	0	0	1978.32	1978.32	0	5806.45	5869.56	5869.56	5869.56	0	0	0	10258.68	10258.68	2473.91	1941.38	1234.25	231.42	0	0	424.27	0	0	0	0	578.56	0	0	0	0	0	707.13	0	0	0	0	0	0	0	0	0	211.93	211.93	0	0	117.38	0	0	117.38	0	0	0	0	0	0	0	0	0	0	0	0	203.22	203.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5739.3	1	1	1
100008304	10010001	1	4	5	670	694	2	1	60	8	3	1	2	3	0	3	0	2	2	2	99257.66	99257.66	84521.73	25826.08	25826.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58695.65	58695.65	0	0	0	0	0	14735.93	0	0	1671.42	1671.42	0	13064.51	0	0	0	0	0	0	51547.66	45678.1	30942.17	16759.08	14753.38	591.41	3529.26	0	1285.68	347.14	0	102.85	707.12	475.7	0	0	0	5412.83	2301.39	2005.7	0	489.12	489.12	0	2989.43	0	137.5	600	2251.93	1866.31	1631.54	234.77	0	1242.37	1124.99	0	117.38	5829.25	385.71	0	0	2903.22	0	2903.22	2540.32	0	0	0	0	1766.61	1622.86	0	143.75	0	5869.56	5869.56	0	0	0	0	0	0	5869.56	0	0	0	5739.3	1	1	1
100008305	10010001	1	4	5	670	694	3	1	79	10	3	3	0	3	0	2	1	2	3	2	91796.72	87883.68	73956.5	586.95	586.95	0	0	0	489.13	489.13	0	489.13	0	0	0	0	0	0	0	4402.17	0	4402.17	66032.6	66032.6	0	0	0	0	2445.65	13927.18	0	0	2314.28	2314.28	0	11612.9	3913.04	3913.04	0	3913.04	0	0	36029.86	32605.95	18678.77	8678.43	8678.43	1645.66	64.28	0	1144.26	282.85	0	0	809.99	1259.98	0	0	0	3471.41	0	0	0	293.47	293.47	0	1100	0	125	300	675	2879.18	2859.62	19.56	0	420.63	420.63	0	0	1440	0	0	0	0	0	0	1440	3019.35	3019.35	0	0	847.71	847.71	0	0	0	3423.91	3423.91	0	0	0	0	0	0	0	0	1956.52	1467.39	5739.3	1	1	1
100010401	10010001	1	4	5	600	660	2	1	72	10	3	2	1	3	0	1	2	1	3	1	84427.04	84427.04	75717.37	21423.9	21130.43	0	0	293.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54293.47	52826.08	0	0	0	1467.39	0	8709.67	0	0	0	0	0	8709.67	0	0	0	0	0	0	47771.4	33097.5	24387.83	12873.09	12230.24	1491.38	4382.95	0	758.55	385.7	0	128.57	746.43	698.12	0	0	0	2571.42	1067.12	642.85	0	0	0	0	3062.5	0	212.5	900	1950	0	0	0	0	0	0	0	0	7006.44	0	0	0	5806.44	0	5806.44	1200	1050	0	1050	0	395.8	95.8	0	300	0	14673.9	14673.9	0	0	0	0	0	0	7630.43	7043.47	0	0	5739.3	1	1	1
100010402	10010001	1	4	5	600	660	3	1	67	10	4	1	3	4	0	2	2	1	4	1	232013.81	232013.81	207502.3	78448.19	75353.47	0	0	3094.72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129054.11	129054.11	0	0	0	0	0	24511.51	0	0	1285.71	1285.71	0	23225.8	0	0	0	0	0	0	263397.05	176380.76	151869.25	18530.3	18530.3	527.13	2849.38	0	2765.54	656.35	0	0	2484.86	2671.67	0	0	0	2288.56	4286.81	0	0	6084.74	4519.53	1565.21	1580	0	201.5	285	1093.5	3500.62	2659.33	254.34	586.95	33534.75	30052.15	0	3482.6	16669.55	0	0	0	11966.33	5869.56	6096.77	4703.22	29351.38	22285.15	7066.23	0	18875.52	14429.01	0	4446.51	23742.39	87016.29	87016.29	0	8755.43	8755.43	0	0	0	35217.39	43043.47	0	0	5739.3	1	1	1
100010403	10010001	1	4	5	600	660	2	1	58	8	3	2	1	3	0	3	0	2	3	2	90941.45	90941.45	76499.98	65347.81	63097.82	0	0	2249.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11152.17	11152.17	0	0	0	0	0	14441.47	0	0	2828.57	2828.57	0	11612.9	0	0	0	0	0	0	169327.44	79620.94	65179.47	10819.12	10497.7	539.99	1079.98	0	758.56	0	0	0	713.54	1684.24	0	0	0	4872.83	848.56	0	321.42	1858.68	0	1858.68	5090.31	0	775.64	1605	2709.67	3247.28	3196.42	50.86	0	2974.86	2582.59	0	392.27	7896.76	0	0	0	5225.8	0	5225.8	2670.96	12182.6	0	12182.6	0	6425.24	5353.51	0	1071.73	14684.62	89706.5	89706.5	0	78260.86	78260.86	0	1173.91	0	10271.73	0	0	0	5739.3	1	1	1
100010404	10010001	1	4	5	600	660	2	1	50	11	4	3	1	4	0	4	0	1	1	1	70308.55	70308.55	58695.65	58695.65	58695.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11612.9	0	0	0	0	0	11612.9	0	0	0	0	0	0	58666.51	58666.51	47053.61	12490.53	12490.53	1362.82	4757.11	0	1131.41	257.14	0	192.85	507.81	89.99	0	0	0	3599.99	591.41	0	0	0	0	0	1755	0	225	630	900	58.06	58.06	0	0	3678.24	3619.55	0	58.69	4722.58	0	0	0	2322.58	0	2322.58	2400	24262.11	24262.11	0	0	87.09	87.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5739.3	1	1	1
100010405	10010001	1	4	5	600	660	2	1	56	6	4	1	3	4	0	4	0	4	4	4	92507.81	92507.81	91736.39	65176.61	64565.21	0	0	611.4	26559.78	0	0	0	0	26559.78	26559.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	771.42	0	0	771.42	771.42	0	0	0	0	0	0	0	0	41085.3	39471.17	38699.75	6852.7	6852.7	1118.53	0	0	3111.37	308.57	0	0	1272.82	784.27	0	0	0	0	257.14	0	0	0	0	0	15455.8	13064.51	0	630	1761.29	6937.93	1068.37	0	5869.56	19.56	0	0	19.56	7513.96	0	2201.08	0	5225.79	0	5225.79	87.09	0	0	0	0	1919.8	1524.15	195.65	200	0	1614.13	1614.13	0	0	0	0	0	0	1614.13	0	0	0	5739.3	1	1	1
100018702	10010001	1	3	4	570	583	3	1	44	9	7	4	3	6	1	5	1	4	4	3	88389.59	80865.03	55450.8	44557.36	43672.12	0	0	885.24	9270.49	9270.49	0	0	9270.49	0	0	0	0	0	0	0	0	0	1622.95	0	0	0	0	1622.95	0	25414.23	11699.98	3214.25	0	0	0	10500	7524.56	7524.56	1377.04	2459.01	3688.51	0	50365.9	47621.64	22207.41	12876.13	10947.56	1189.24	1697.12	0	2764.26	359.98	0	533.56	1658.47	102.85	0	0	57.85	1619.98	964.25	1928.57	0	1962.38	84.13	1878.25	2053	0	175	378	1500	438	438	0	0	0	0	0	0	3360	0	0	0	3000	0	3000	360	0	0	0	0	1272	1272	0	0	245.9	2744.26	2744.26	0	0	0	0	0	0	0	0	2744.26	0	5739.3	1	1	1
