2006.01	12	1	16.86166667	-99.88638889	70.54183569
2006.02	12	1	16.86166667	-99.88638889	71.81458022
2006.03	12	1	16.86166667	-99.88638889	73.50722369
2006.04	12	1	16.86166667	-99.88638889	75.1589448
2006.05	12	1	16.86166667	-99.88638889	77.20862098
2006.06	12	1	16.86166667	-99.88638889	78.50508861
2006.07	12	1	16.86166667	-99.88638889	79.26126254
2006.08	12	1	16.86166667	-99.88638889	78.32479302
2006.09	12	1	16.86166667	-99.88638889	78.25184447
2006.1	12	1	16.86166667	-99.88638889	76.98265841
2006.11	12	1	16.86166667	-99.88638889	76.04144426
2006.12	12	1	16.86166667	-99.88638889	77.59827296
2007.01	12	1	16.86166667	-99.88638889	78.16466206
2007.02	12	1	16.86166667	-99.88638889	77.6024245
2007.03	12	1	16.86166667	-99.88638889	78.11543662
2007.04	12	1	16.86166667	-99.88638889	79.18119707
2007.05	12	1	16.86166667	-99.88638889	79.29566104
2007.06	12	1	16.86166667	-99.88638889	79.21322326
2007.07	12	1	16.86166667	-99.88638889	79.49256281
2007.08	12	1	16.86166667	-99.88638889	79.16992859
2007.09	12	1	16.86166667	-99.88638889	79.42673119
2007.1	12	1	16.86166667	-99.88638889	79.34607264
2007.11	12	1	16.86166667	-99.88638889	78.94337295
2007.12	12	1	16.86166667	-99.88638889	79.06851232
2008.01	12	1	16.86166667	-99.88638889	81.09327924
2008.02	12	1	16.86166667	-99.88638889	82.89445591
2008.03	12	1	16.86166667	-99.88638889	83.60852134
2008.04	12	1	16.86166667	-99.88638889	86.28567362
2008.05	12	1	16.86166667	-99.88638889	88.11413185
2008.06	12	1	16.86166667	-99.88638889	88.37449292
2008.07	12	1	16.86166667	-99.88638889	89.02509904
2008.08	12	1	16.86166667	-99.88638889	88.12006263
2008.09	12	1	16.86166667	-99.88638889	87.85377079
2008.1	12	1	16.86166667	-99.88638889	87.60349204
2008.11	12	1	16.86166667	-99.88638889	87.91663701
2008.12	12	1	16.86166667	-99.88638889	87.56553507
2009.01	12	1	16.86166667	-99.88638889	87.71795602
2009.02	12	1	16.86166667	-99.88638889	88.52987925
2009.03	12	1	16.86166667	-99.88638889	89.4260195
2009.04	12	1	16.86166667	-99.88638889	89.5742889
2009.05	12	1	16.86166667	-99.88638889	89.07076602
