ciudad,codigo,UE,A111A,H001A,J000A,A121A,Q000A,Q000B,A700A,A131A
02002,431121,8,,,,,,,,
02002,431122,2,,,,,,,,
02002,43113,42,312.123,1295.0,61.219,129.142,128.798,15.134,1286.851,182.981
02002,43114,5,174.21,90.0,3.456,71.196,92.582,1.912,707.433,103.014
02002,43116,5,144.497,246.0,1.4,48.432,32.489,1.389,336.046,96.065
02002,43117,4,,,,,,,,
02002,4312,17,299.95,738.0,19.968,134.467,322.178,36.946,717.708,165.483
02002,43121,16,,,,,,,,
02002,431211,9,88.642,221.0,19.618,44.157,38.226,2.443,220.306,44.485
02002,433,66,173.576,512.0,31.42,93.636,49.792,6.35,731.147,79.94
02002,4331,24,21.674,149.0,7.377,45.875,5.649,1.118,78.755,-24.201
02002,46,10083,8483.294,39465.0,1105.822,3318.338,5864.232,472.955,29526.202,5164.956
02002,461,4402,1547.674,11465.0,215.756,531.75,969.336,87.006,5292.311,1015.924
02002,4611,3771,1339.319,9801.0,176.179,429.428,828.987,73.356,4763.688,909.891
02002,46111,2548,568.669,5729.0,72.524,157.294,372.007,31.655,1357.929,411.375
02002,46112,120,426.376,1209.0,20.662,151.441,302.87,26.981,1855.574,274.935
02002,461121,76,407.423,1077.0,16.533,145.101,291.227,25.807,1812.268,262.322
02002,46113,140,186.302,989.0,50.523,68.834,73.695,8.255,1275.494,117.468
02002,46115,6,5.846,22.0,2.004,1.942,0.868,0.081,7.36,3.904
02002,4612,631,208.355,1664.0,39.577,102.322,140.349,13.65,528.623,106.033
02002,46121,630,,,,,,,,
02002,461213,345,52.651,787.0,13.555,13.674,31.614,3.177,63.801,38.977
02002,462,574,2778.003,8327.0,178.894,1398.239,2259.719,172.902,10977.366,1379.764
02002,4621,552,2378.319,6756.0,126.334,1285.975,1982.747,159.288,10298.476,1092.344
02002,46211,552,2378.319,6756.0,126.334,1285.975,1982.747,159.288,10298.476,1092.344
02002,464,539,624.695,2582.0,126.578,203.399,294.028,15.61,1419.386,421.296
02002,4641,539,624.695,2582.0,126.578,203.399,294.028,15.61,1419.386,421.296
02002,46411,451,591.434,2343.0,119.531,190.522,282.565,13.991,1366.368,400.912
02002,467,466,,,,,,,,
02002,4671,466,,,,,,,,
02002,48-49,189,2284.343,5063.0,523.946,1371.48,1517.125,181.576,1456.524,912.863
02002,485,16,220.732,755.0,46.804,144.978,252.569,37.428,154.348,75.754
02002,4852,5,,,,,,,,
02004,31-33,3351,90802.068,202114.0,22048.261,53258.93,21634.081,1493.584,55033.464,37543.138
02004,311,906,4652.649,7245.0,617.758,3124.951,951.073,70.959,3255.59,1527.698
02004,3114,6,7.734,36.0,2.378,3.395,4.37,0.449,3.971,4.339
02004,3115,113,452.127,1217.0,98.518,469.72,207.359,12.99,530.372,-17.593
02004,31151,37,393.515,990.0,90.444,443.069,184.762,11.055,503.218,-49.554
02004,3116,10,660.067,696.0,89.081,591.452,108.507,5.942,599.633,68.615
02004,31161,10,660.067,696.0,89.081,591.452,108.507,5.942,599.633,68.615
02004,311612,1,,,,,,,,
02004,311613,5,,,,,,,,
02004,3118,744,2773.967,4315.0,284.274,1458.952,393.891,30.197,1477.983,1315.015
02004,31181,425,1922.662,2250.0,162.883,886.186,199.433,10.657,889.262,1036.476
02004,311811,3,,,,,,,,
02004,311812,422,,,,,,,,
02004,31183,314,552.707,1678.0,66.278,313.449,99.083,9.103,317.48,239.258
02004,3119,21,239.859,416.0,67.01,223.188,143.442,16.303,225.255,16.671
02004,31192,3,,,,,,,,
02004,312,284,4642.58,3222.0,332.491,3870.007,642.506,111.217,3922.582,772.573
02004,3121,284,4642.58,3222.0,332.491,3870.007,642.506,111.217,3922.582,772.573
02004,31211,274,4492.938,3146.0,326.354,3727.756,631.916,110.116,3776.975,765.182
02004,325,44,1267.577,2392.0,207.888,868.502,204.464,17.383,887.029,399.075
02004,3254,10,,,,,,,,
02004,327,137,1337.709,3418.0,296.546,747.969,441.22,37.345,781.65,589.74
02004,3273,34,778.016,1045.0,106.27,524.895,310.755,28.762,540.334,253.121
02004,3274,23,6.771,61.0,0.382,4.051,0.872,0.076,4.06,2.72
02004,331,17,,,,,,,,
02004,3312,5,,,,,,,,
02004,33122,5,,,,,,,,
02004,43,1527,11454.627,20679.0,1438.102,3853.758,2688.317,293.007,29226.887,7600.869
02004,431,326,4712.033,8594.0,601.93,1985.364,915.529,104.734,11981.715,2726.669
02004,4311,303,3853.926,7164.0,491.287,1525.239,648.799,74.964,10286.106,2328.687
02004,43111,75,960.34,1360.0,126.529,422.43,153.618,20.081,3367.269,537.91
02004,43112,35,175.431,574.0,21.626,92.291,68.482,13.658,767.208,83.14
02004,431121,15,87.763,355.0,9.083,41.415,28.225,3.661,415.139,46.348
02004,431122,4,,,,,,,,
02004,43113,95,551.847,1302.0,70.611,252.734,132.256,14.783,1704.942,299.113
02004,43114,5,68.493,220.0,12.353,11.407,38.33,2.487,110.746,57.086
02004,43116,10,526.016,1067.0,14.63,189.007,85.153,3.589,1499.476,337.009
02004,43117,5,91.065,404.0,20.283,36.916,4.928,0.575,162.216,54.149
02004,4312,23,858.107,1430.0,110.643,460.125,266.73,29.771,1695.609,397.982
02004,43121,20,,,,,,,,
02004,431211,6,,,,,,,,
02004,433,138,1814.854,2044.0,110.812,244.261,179.346,21.645,4118.349,1570.593
02004,4331,35,1480.036,797.0,28.829,139.644,55.573,10.154,3029.384,1340.392
02004,46,18753,13937.345,67442.0,1773.169,5916.52,8913.08,815.718,45301.247,8020.825
02004,461,8315,2090.367,17626.0,266.081,636.327,800.158,56.835,4741.087,1454.04
02004,4611,7934,1902.947,16773.0,257.369,566.42,760.848,54.038,4421.172,1336.527
02004,46111,6650,875.411,12260.0,80.776,217.443,522.806,34.52,1670.044,657.968
02004,46112,238,530.436,1345.0,44.237,164.602,103.796,7.596,1447.348,365.834
02004,461121,141,445.544,942.0,27.744,136.175,92.726,6.458,1202.989,309.369
02004,461122,38,14.566,80.0,1.735,3.009,1.952,0.17,18.867,11.557
02004,46113,245,143.072,945.0,38.877,71.348,35.758,3.331,405.37,71.724
02004,46115,31,77.616,170.0,11.504,16.502,8.7,0.533,279.629,61.114
02004,4612,381,187.42,853.0,8.712,69.907,39.31,2.797,319.915,117.513
02004,46121,376,185.711,844.0,8.61,69.54,39.212,2.79,317.573,116.171
02004,461213,83,59.761,189.0,2.065,18.67,6.268,0.59,67.012,41.091
02004,462,871,5432.274,16602.0,358.139,2830.922,5633.219,511.409,21185.107,2601.352
02004,4621,827,4671.215,14099.0,294.534,2560.781,5484.094,501.727,19929.992,2110.434
02004,46211,827,4671.215,14099.0,294.534,2560.781,5484.094,501.727,19929.992,2110.434
02004,464,897,1073.38,4037.0,163.733,355.41,288.427,33.261,2594.014,717.97
02004,4641,897,1073.38,4037.0,163.733,355.41,288.427,33.261,2594.014,717.97
02004,46411,754,999.983,3618.0,150.679,322.9,262.386,30.786,2420.51,677.083
02004,467,854,873.936,3973.0,164.131,346.003,410.738,40.623,1972.065,527.933
02004,4671,854,873.936,3973.0,164.131,346.003,410.738,40.623,1972.065,527.933
02004,48-49,433,2405.217,8133.0,632.302,1297.86,1271.817,198.56,2176.701,1107.357
02004,485,31,647.891,3117.0,172.128,341.64,477.161,103.621,358.37,306.251
02004,4852,6,,,,,,,,
03003,31-33,1123,1687.218,4104.0,157.827,1124.542,1453.662,119.998,1205.227,562.676
03003,311,317,468.462,1337.0,45.65,325.627,182.541,17.339,367.004,142.835
03003,3114,4,,,,,,,,
03003,3115,65,19.955,176.0,1.468,30.099,21.152,1.482,32.45,-10.144
03003,31151,34,,,,,,,,
