100008302	4
100008303	2
100008304	4
100008305	5
100010401	4
100010402	4
100010403	4
100010404	4
100010405	1
100018702	4
100018703	3
100018704	4
100018705	4
100035901	1
100035902	2
100035903	4
100035904	4
100035905	2
100059801	3
100059802	4
100059803	1
100059804	2
100059805	4
100077501	4
100077502	4
100077503	1
100077504	1
100077505	4
100143602	4
100143603	4
100143604	4
100143605	1
100179201	4
100179202	4
100179203	2
100179204	4
100179205	3
100187101	4
100187102	1
100187103	1
100187104	1
100187105	1
100274301	2
100274302	4
100274303	1
100274305	1
100321401	4
100321402	4
100321403	1
100321404	4
100321405	2
100328702	1
100328703	4
100328705	1
100350901	4
100350902	4
100350903	4
100350904	4
100357802	4
100357804	4
100357805	2
100384501	3
100384503	1
100401601	4
100401602	1
100401603	3
100401604	4
100401605	1
100410201	4
100410202	4
100410203	4
100410204	5
100410205	1
100427101	1
100427102	3
100427103	1
100458301	4
100458302	1
100458303	4
100458304	4
100458305	3
100461401	4
100461402	4
100461403	4
100461404	4
100461405	4
100467702	4
100467703	4
100467704	4
100544902	1
100544903	1
100557801	3
100557802	4
100557803	2
100557804	4
100566501	4
100566502	4
100566503	3
100665602	4
100665603	4
100665604	4
100676201	4
100676202	4
100676204	4
100676205	4
100694101	4
100694102	1
100694103	5
100694104	5
100694105	2
100727302	4
100727303	2
100727304	4
100727305	5
100738401	4
100738402	4
100738403	4
100738404	4
100738405	4
100761701	4
100761702	1
100761703	4
100761704	4
100761705	4
100781901	4
100781902	3
100781903	4
100781904	1
100781905	2
100783801	3
100783802	2
100783803	4
100783804	4
100783805	4
100793501	4
100793502	1
100793503	4
100793504	5
100793505	4
100802601	4
100802602	2
100802603	1
100802604	2
100802605	4
100814201	2
100814202	2
100814204	4
100814205	4
100819101	4
100819102	4
100819103	1
100819104	5
100819105	4
100824301	4
100824302	4
100824303	4
100824304	4
100824305	1
100829401	1
100829402	4
100829403	4
100829404	4
100829405	4
100839702	4
100839703	4
100839704	1
100839705	4
100840901	4
100840902	2
100840903	4
100840904	4
100843801	4
100843803	3
100843804	4
100843805	4
100870501	4
100870503	4
100870504	4
100870505	4
100939601	4
100939602	4
100939603	1
100939604	1
100942201	2
100942202	3
100942205	1
101000101	4
101000103	5
101000104	3
101000105	1
101003301	3
101003302	3
101003303	1
101003304	1
101003305	4
101034401	3
101034402	3
101034404	3
101034405	1
101062701	1
101062702	4
101062703	1
101062705	1
101094901	3
101094902	3
101094903	4
101094905	1
101100801	1
101100803	4
101100804	4
101100805	1
101147501	4
101147502	4
101147503	2
101147504	6
101147505	4
101166601	4
101166602	3
101166603	4
101166604	3
101166605	1
101170201	4
101170203	4
101170204	4
101170205	3
101188101	3
101188102	4
101188103	3
101188104	4
101188105	3
101249301	3
101249302	4
101249303	3
101249304	2
101249305	3
101296401	3
101296402	6
101296403	3
101296405	4
101464702	2
101464703	4
101464704	4
101464705	6
101499901	3
101499902	3
101499903	3
101499904	2
101531801	3
101531803	3
101531804	3
101531805	3
101547501	3
101547502	3
101547503	3
101547504	3
101547505	3
101577601	4
101577602	4
101577603	4
101577604	5
101577605	4
101582201	4
101582202	3
101582203	4
101582204	4
101582205	4
101592101	4
101592102	4
101592103	4
101592104	4
101592105	2
101598301	4
101598302	4
101598303	4
101598304	4
101598305	4
101690401	1
101690402	1
101690404	3
101690405	3
101727701	4
101727702	1
101727703	3
101727704	2
101727705	3
101745902	1
101745904	3
101745905	3
101793801	3
101793802	1
101793803	3
101793804	3
101793805	3
101875501	3
101875502	3
101875503	4
101875505	3
101901601	4
101901602	2
101901603	1
101901604	3
101901605	3
101929201	3
101929202	4
101929203	4
101929204	4
101929205	4
101939101	4
101939102	3
101939103	3
101939104	3
101939105	2
101953301	3
101953302	3
101953303	3
101953304	3
101953305	3
101989401	3
101989402	1
101989403	1
101989404	3
101989405	3
102009101	4
102009102	4
102009103	2
102009104	4
102009105	4
102009307	4
102009308	4
102009309	4
102009310	4
102009411	4
102009412	4
102009413	5
102009414	4
102009415	4
102009716	4
102009717	2
102009718	4
102009719	4
102009720	4
102035701	2
102035702	4
102035704	4
102035705	2
102055901	1
102055902	1
102055903	3
102055904	4
102055905	1
102076802	3
102076803	1
102076804	1
102088501	2
102088502	3
102088503	5
102088504	4
102088505	4
102134511	4
102134512	1
102134513	4
102134514	4
102134515	4
102134616	4
102134617	4
102134619	4
102134620	4
102134806	1
102134807	2
102134808	2
102134809	1
102134810	5
102134901	2
102134902	4
102134904	2
102134905	4
102263106	4
102263108	4
102263109	1
102263110	1
102263201	4
102263202	4
102263203	2
102263204	2
102263205	4
102263311	1
102263312	4
102263313	4
102263314	4
102263315	4
102263416	4
102263417	4
102263418	4
102263419	1
102263420	2
102284601	3
102284602	4
102284603	3
102284604	3
102284605	3
102285201	4
102285202	4
102285203	4
102285204	3
102285205	4
102337516	4
102337517	4
102337518	4
102337519	4
102337520	4
102337701	2
102337703	4
102337704	4
102337705	4
102337811	4
102337812	4
102337813	1
102337814	1
102337815	4
102337906	4
102337907	4
102337908	4
102337909	4
102337910	4
160068111	4
160068112	4
160068113	4
160068114	4
160068115	4
160068206	4
160068207	4
160068209	2
160068210	4
160068316	4
160068317	4
160068318	2
160068319	4
160068320	4
160068601	4
160068602	4
160068603	4
160068604	4
160068605	4
160109414	4
160109415	4
160109416	2
160109417	4
160109418	4
160109706	4
160109708	4
160109801	4
160109802	4
160109803	4
160109804	4
160109805	4
160109910	4
160109911	4
160109912	4
160109913	4
160168116	2
160168117	4
160168118	4
160168119	4
160168120	4
160168211	4
160168212	1
160168213	4
160168214	4
160168215	4
160168501	4
160168502	4
160168503	4
160168504	4
160168505	4
160168606	4
160168607	4
160168608	4
160168609	4
160168610	4
160187312	3
160187314	3
160187315	1
160187316	4
160187402	4
160187403	3
160187404	3
160187405	4
160187718	3
160187719	1
160187906	2
160187907	4
160187908	2
160187909	4
160187911	4
160211206	4
160211208	2
160211516	4
160211517	4
160211518	4
160211519	4
160211610	5
160211611	4
160211612	4
160211613	2
160211614	4
160211801	2
160211802	4
160211804	4
160211805	4
160227102	5
160227103	4
160227104	2
160227105	2
160227306	4
160227307	4
160227308	4
160227309	1
160227310	4
160227411	4
160227412	4
160227413	4
160227414	4
160227415	4
160227716	4
160227717	2
160227718	4
160227719	4
160227720	4
200055501	4
200055502	4
200055503	1
200055504	1
200055505	3
200057201	4
200057204	4
200057205	1
200067901	4
200067902	4
200067903	4
200067905	4
200093401	1
200093404	4
200093405	1
200199101	2
200199102	4
200199103	4
200199104	4
200199105	4
200257301	1
200257302	1
200257303	4
200257304	4
200257305	4
200265601	4
200265602	4
200265603	4
200265604	3
200265605	4
200515801	4
200515802	4
200515803	4
200515804	4
200515805	4
200528701	4
200528702	1
200528703	1
200528704	1
200528705	1
200777501	2
200777502	1
200777505	4
200794201	3
200794202	3
200794203	3
200794204	4
200849901	4
200849903	4
200849904	4
200849905	4
200998401	4
200998402	4
200998403	4
200998404	4
200998405	2
201002101	4
201002102	5
201002103	4
201002104	4
201002105	1
201218302	4
201218303	4
201218304	3
201218305	4
201259601	4
201259602	4
201259603	4
201259604	3
201259605	4
201324801	4
201324802	4
201324803	4
201324804	4
201424701	3
201424702	4
201424703	4
201424704	3
201424705	4
201469501	2
201469502	2
201469503	1
201469504	4
201469505	2
201480201	4
201480202	2
201480203	1
201480204	4
201480205	1
201547902	1
201547903	4
201547904	1
201547905	4
201588401	2
201588402	4
201588403	1
201588404	4
201588405	4
201696102	1
201696103	5
201696104	5
201764302	4
201764303	4
201764304	3
201764305	4
201805601	4
201805602	4
201805603	4
201805604	4
201805605	1
201839801	4
201839802	4
201839803	4
201839804	4
201939701	4
201939702	4
201939703	4
201939704	4
201939705	4
202074501	4
202074502	4
202074503	4
202074504	4
202074505	4
202076201	1
202076202	4
202076203	2
202076204	1
202076205	4
202178901	4
202178902	4
202178903	3
202178904	4
202178905	4
202272401	2
202272402	4
202272403	3
202272404	2
202272405	3
202522101	3
202522102	3
202522103	3
202522104	3
202522105	3
202556301	4
202556302	4
202556303	4
202556304	2
202556305	4
202577601	5
202577602	3
202577604	4
202577605	4
202624801	3
202624802	3
202624803	3
202624804	3
202624805	6
202742701	3
202742702	3
202742703	3
202742704	2
202742705	3
203018501	4
203018502	4
203018503	4
203018504	4
203018505	4
203054201	3
203054203	3
203054204	3
203054205	3
203111901	3
203111902	3
203111903	3
203111904	3
203111905	3
203151401	1
203151402	1
203151403	1
203151404	1
203151405	4
203193101	4
203193102	1
203193103	4
203193105	4
203221301	4
203221302	3
203221303	1
203221304	2
203221305	4
203288601	2
203288602	4
203288603	4
203288604	4
203326802	4
203326803	4
203326805	4
203391701	1
203391702	1
203391703	4
203391704	1
203568501	2
203568502	4
203568503	4
203568504	4
203568505	4
203577201	2
203577202	4
203577203	4
203577204	4
203577205	4
203700901	1
203700902	4
203700903	4
203700904	4
203700905	2
203750401	1
203750402	2
203750403	1
203750404	1
203750405	2
203802101	1
203802102	4
203802103	4
203802104	1
203802105	4
203808301	1
203808302	4
203808303	4
203808304	2
203808305	4
203862601	4
203862602	4
203862603	4
203862604	1
203862605	2
203907801	2
203907802	5
203907803	4
203907804	4
203907805	4
203914701	4
203914702	4
203914703	4
203914704	2
203914705	4
203931502	4
203931503	1
203931504	4
203931505	4
204036201	4
204036202	1
204036203	4
204036205	5
204191901	4
204191902	4
204191904	4
204191905	1
204232401	4
204232402	1
204232403	1
204232404	4
204232405	1
204313101	4
204313103	4
204313104	4
204313105	4
204749301	4
204749302	1
204749304	4
204749305	4
204877602	1
204877603	3
204877604	3
204877605	2
204896801	4
204896802	4
204896803	1
204896805	4
205097701	1
205097702	4
205097703	1
205097705	1
205167501	1
205167502	1
205167503	1
205167504	1
205167505	1
205440201	4
205440202	4
205440203	1
205440204	4
205440205	1
205452901	2
205452902	4
205452903	4
205452904	4
205452905	2
205468401	1
205468402	1
205468403	4
205468404	1
205468405	4
205616101	4
205616102	2
205616103	3
205616104	1
205616105	2
205652301	4
205652302	2
205652303	4
205652304	4
205652305	1
205747601	1
205747602	1
205747603	1
205747605	1
205803801	3
205803802	4
205803803	4
205803804	4
205803805	4
205863701	4
205863702	2
205863703	3
205863704	1
205863705	1
205882501	1
205882502	1
205882503	1
205882504	4
205882505	1
205900201	4
205900202	2
205900204	4
205900205	4
205999901	3
205999902	3
205999903	3
205999904	1
206106401	4
206106402	4
206106403	4
206106404	3
206106405	3
206116101	1
206116102	4
206116104	4
206116105	4
206226301	1
206226303	3
206226304	1
206226305	1
206357601	3
206357602	3
206357603	1
206357604	3
206357605	3
206503801	3
206503802	4
206503803	4
206503804	1
206503805	1
206647701	1
206647702	3
206647703	3
206647704	3
206647705	3
206684501	4
206684502	4
206684503	4
206684504	4
206684505	4
206769201	2
206769202	1
206769203	4
206769204	1
206769205	4
206784901	3
206784902	2
206784903	1
206784904	2
206784905	3
206911401	4
206911403	2
206911404	3
206911405	3
207185216	4
207185217	4
207185218	2
207185219	4
207185220	1
207185511	4
207185512	3
207185515	3
207185706	3
207185707	4
207185708	1
207185709	4
207185710	4
207185801	4
207185802	4
207185803	1
207185804	1
207185805	1
207283101	4
207283102	3
207283103	4
207283104	3
207283105	4
207342111	2
207342112	3
207342113	2
207342114	3
207342115	3
207342316	3
207342319	3
207342320	3
207342406	3
207342407	3
207342408	3
207342409	3
207342901	2
207342902	1
207342903	1
207342904	1
207342905	1
207712516	4
207712517	3
207712518	1
207712519	2
207712520	4
207712601	2
207712602	4
207712603	4
207712605	4
207712711	4
207712712	6
207712713	4
207712714	1
207712715	4
207712806	3
207712807	3
207712808	1
207712809	4
207712810	4
207838116	4
207838117	1
207838118	4
207838119	4
207838120	4
207838201	4
207838202	4
207838203	4
207838204	4
207838205	4
207838411	4
207838412	4
207838413	4
207838415	4
207838906	1
207838907	4
207838908	1
207838909	1
207838910	4
208096301	3
208096302	3
208096303	3
208096304	3
208096305	3
208096606	2
208096607	2
208096608	1
208096609	1
208096610	3
208096717	4
208096718	3
208096719	4
208096720	4
208096812	3
208096813	3
208096814	1
208096815	3
208222302	4
208222303	4
208222305	4
208290601	2
208290602	3
208290604	3
208290605	3
260125206	1
260125207	1
260125208	4
260125209	4
260125210	4
260125417	3
260125418	3
260125419	4
260125420	4
260125501	4
260125502	4
260125503	4
260125504	2
260125505	4
260125911	4
260125912	4
260125915	2
260337101	1
260337102	1
260337104	4
260337105	1
260337317	4
260337318	4
260337319	4
260337320	4
260337321	4
260337612	4
260337613	1
260337614	1
260337615	4
260337616	2
260337806	1
260337807	1
260337808	1
260349211	4
260349212	3
260349214	1
260349215	4
260349506	1
260349507	4
260349508	4
260349509	3
260349510	1
260349701	4
260349702	4
260349703	3
260349704	4
260349705	4
260349916	2
260349917	4
260349918	4
260349919	4
260349920	3
300042402	3
300042403	4
300042404	4
300042405	3
300049901	1
300049902	4
300049903	4
300049904	4
300049905	4
300055101	4
300055102	2
300055103	1
300055104	2
300055105	4
300074701	4
300074702	4
300074703	4
300074704	1
300074705	2
300086601	4
