clave,generico,unidad,cantidad
1,Tortilla de maíz,KG,1
2,Tostadas,KG,1
3,Masa y harinas de maíz,KG,1
4,Maíz,KG,1
5,Pan dulce,PZA,1
6,Pan blanco,PZA,1
7,Pan de caja,KG,1
8,"Pasteles, pastelillos y pan dulce empaquetado",KG,1
9,Pastelillos y pasteles a granel,KG,1
10,Galletas,KG,1
11,Pasta para sopa,KG,1
12,Tortillas de harina de trigo,KG,1
13,Harinas de trigo,KG,1
14,Cereales en hojuelas,KG,1
15,Arroz,KG,1
16,Pollo,KG,1
17,Carne de cerdo,KG,1
18,Carne de res,KG,1
19,Vísceras de res,KG,1
20,Chorizo,KG,1
21,Jamón,KG,1
22,Salchichas,KG,1
23,Carnes secas y otros embutidos,KG,1
24,Tocino,KG,1
25,Pescado,KG,1
26,Camarón,KG,1
27,Otros mariscos,KG,1
28,Atún y sardina en lata,KG,1
29,Otros pescados y mariscos en conserva,KG,1
30,Leche pasteurizada y fresca,LT,1
31,Leche en polvo,KG,1
32,"Leche evaporada, condensada y maternizada",KG,1
33,Yogurt,KG,1
34,Queso fresco,KG,1
35,Otros quesos,KG,1
36,Queso Oaxaca o asadero,KG,1
37,Crema de leche,LT,1
38,Queso manchego o Chihuahua,KG,1
39,Helados,LT,1
40,Mantequilla,KG,1
41,Queso amarillo,KG,1
42,Huevo,DOCENA,1
43,Aceites y grasas vegetales comestibles,LT,1
44,Manzana,KG,1
45,Plátanos,KG,1
46,Aguacate,KG,1
47,Otras Frutas,KG,1
48,Papaya,KG,1
49,Naranja,KG,1
50,Limón,KG,1
51,Melón,KG,1
52,Uva,KG,1
53,Pera,KG,1
54,Guayaba,KG,1
55,Durazno,KG,1
56,Sandía,KG,1
57,Piña,KG,1
58,Jitomate,KG,1
59,Papa y otros tubérculos,KG,1
60,Cebolla,KG,1
61,Otras legumbres,PZA,1
62,Otros chiles frescos,KG,1
63,Tomate verde,KG,1
64,Lechuga y col,KG,1
65,Calabacita,KG,1
66,Zanahoria,KG,1
67,Chile serrano,KG,1
68,Nopales,KG,1
69,Chayote,KG,1
70,Chile poblano,KG,1
71,Pepino,KG,1
72,Ejotes,KG,1
73,Chícharo,KG,1
74,Frijol,KG,1
75,Otras legumbres secas,KG,1
76,Frijol procesado,KG,1
77,Chile seco,KG,1
78,Jugos o néctares envasados,LT,1
79,"Chiles envasados, moles y salsas",KG,1
80,Verduras envasadas,KG,1
81,Otras conservas de frutas,KG,1
82,Frutas y legumbres preparadas para bebés,KG,1
83,Sopas instantáneas y puré de tomate,KG,1
84,Azúcar,KG,1
85,Café soluble,KG,1
86,Café tostado,KG,1
87,Refrescos envasados,LT,1
88,Agua embotellada,LT,1
89,Mayonesa y mostaza,KG,1
90,Concentrados de pollo y sal,KG,1
91,Otros condimentos,LT,1
92,Papas fritas y similares,KG,1
93,Concentrados para refrescos,LT,1
94,Chocolate,KG,1
95,"Dulces, cajetas y miel",KG,1
96,Gelatina en polvo,KG,1
97,Otros alimentos cocinados,KG,1
98,Pollos rostizados,PZA,1
99,Barbacoa o birria,ORDEN,1
100,Pizzas,PZA,1
101,Carnitas,KG,1
102,Cerveza,LT,1
103,Tequila,LT,1
104,Brandy,LT,1
105,Vino de mesa,LT,1
106,Otros licores,LT,1
107,Ron,LT,1
108,Cigarrillos,CAJETI,1
118,Camisas,PZA,1
119,Ropa interior para hombre,PAQ,1
120,Calcetines,PAR,1
121,Pantalones para hombre,PZA,1
122,Trajes,TRAJE,1
123,Otras prendas para hombre,PZA,1
124,Blusas y playeras para mujer,PZA,1
125,Ropa interior para mujer,PZA,1
126,Medias y pantimedias,PAQ,1
127,Pantalones para mujer,PZA,1
128,Vestidos y faldas para mujer,PZA,1
129,Otras prendas para mujer,PZA,1
130,"Vestidos, faldas y pantalones para niñas",PZA,1
131,Pantalones para niño,PZA,1
132,Camisas y playeras para niños,PZA,1
133,Ropa interior para infantes,PZA,1
134,Calcetines y calcetas,PAR,1
135,Ropa para bebés,JGO,1
136,Camisetas para bebés,PZA,1
137,Ropa de abrigo,PZA,1
138,Uniformes escolares,JGO,1
139,Zapatos tenis,PAR,1
140,Zapatos para niños y niñas,PAR,1
141,Zapatos para mujer,PAR,1
142,Zapatos para hombre,PAR,1
143,Zapatos de material sintético,PAR,1
144,Otros gastos del calzado,SERV,1
145,Servicio de tintorería,SERV,1
146,Servicio de lavandería,SERV,1
147,"Bolsas, maletas y cinturones",PZA,1
148,"Relojes, joyas y bisutería",PZA,1
158,Renta de vivienda,RENTA,1
160,Derechos por el suministro de agua,CUOTA,1
161,Electricidad,COST/M,1
162,Gas doméstico LP,KG,1
163,Gas doméstico natural,COSTO/,1
164,Servicio de telefonía móvil,SERV,1
165,Servicio telefónico local fijo,SERV,1
166,Larga distancia nacional,COSTO,1
167,Larga distancia internacional,COSTO,1
168,Servicio doméstico,SERV,1
169,Otros servicios para el hogar,SERV,1
179,Comedores y antecomedores,JGO,1
180,Muebles para cocina,PZA,1
181,Estufas,UNIDAD,1
182,Calentadores para agua,UNIDAD,1
183,Colchones,UNIDAD,1
184,Muebles diversos para el hogar,PZA,1
185,Salas,JGO,1
186,Recámaras,JGO,1
187,Refrigeradores,UNIDAD,1
188,Lavadoras de ropa,UNIDAD,1
189,Aparatos de aire acondicionado,UNIDAD,1
190,Ventiladores,UNIDAD,1
191,Otros aparatos eléctricos,UNIDAD,1
192,Aparatos de telefonía fija,UNIDAD,1
193,Licuadoras,UNIDAD,1
194,Horno de microondas,UNIDAD,1
195,Planchas eléctricas,UNIDAD,1
196,Computadoras,PZA,1
197,Televisores,UNIDAD,1
198,Equipos y reproductores de audio,UNIDAD,1
199,Reproductores de video,UNIDAD,1
200,Focos,PZA,1
201,Velas y veladoras,PZA,1
202,Pilas,PAQ,1
203,Cerillos,PAQ,1
204,"Escobas, fibras y estropajos",PZA,1
205,Otros utensilios de cocina,PZA,1
206,"Loza, cristalería y cubiertos",JGO,1
207,Baterías de cocina,PZA,1
208,Utensilios de plástico para el hogar,PZA,1
209,Colchas y cobijas,PZA,1
210,Otros textiles para el hogar,PZA,1
211,Sábanas,JGO,1
212,Toallas,PZA,1
213,Cortinas,PZA,1
214, Detergentes,KG,1
215, Suavizantes y limpiadores,LT,1
216, Blanqueadores,LT,1
217, Jabón para lavar,KG,1
218, Plaguicidas,PZA,1
219, Desodorantes ambientales,PAQ,1
229,Otros Medicamentos,CAJA,1
230,Antibióticos,CAJA,1
231,Cardiovasculares,CAJA,1
232,Analgésicos,CAJA,1
233,Nutricionales,FCO,1
234,Medicamentos para diabetes,CAJA,1
235,Gastrointestinales,CAJA,1
236,Material de curación,FCO,1
237,Antigripales,CAJA,1
238,Antiinflamatorios,CAJA,1
239,Medicinas homeopáticas y naturistas,FCO,1
240,Medicamentos para alergias,FCO,1
241,Expectorantes y descongestivos,CAJA,1
242,Dermatológicos,PZA,1
243,"Lentes, aparatos para sordera y ortopédicos",PZA,1
244,Consulta y prótesis dental,SERV,1
245,Consulta médica,SERV,1
246,Hospitalización general,SERV,1
247,Operación quirúrgica,SERV,1
248,Atención médica durante el parto,SERV,1
249,Estudios médicos de gabinete,SERV,1
250,Hospitalización parto,SERV,1
251,Análisis clínicos,SERV,1
252,Corte de cabello,SERV,1
253,Sala de belleza,SERV,1
254,Productos para el cabello,LT,1
255,Lociones y perfumes,PZA,1
256,Pasta dental,PZA,1
257,Desodorantes personales,PZA,1
258,Jabón de tocador,KG,1
259,Cremas para la piel,KG,1
260,Navajas y máquinas de afeitar,PAQ,1
261,Artículos de maquillaje,PZA,1
262,Otros artículos de tocador,PZA,1
263,Papel higiénico y pañuelos desechables,PAQ,1
264,Pañales,PAQ,1
265,Toallas sanitarias,PAQ,1
266,Servilletas de papel,PAQ,1
276,Colectivo,VIAJE,1
277,Autobús urbano,VIAJE,1
278,Taxi,VIAJE,1
279,Metro o transporte eléctrico,VIAJE,1
280,Autobús foráneo,VIAJE,1
281,Transporte aéreo,VIAJE,1
282,Automóviles,UNIDAD,1
283,Bicicletas y motocicletas,UNIDAD,1
284,Gasolina de bajo octanaje,LT,1
285,Gasolina de alto octanaje,LT,1
286,Aceites lubricantes,LT,1
287,Neumáticos,PZA,1
288,Otras refacciones,PZA,1
289,Acumuladores,PZA,1
290,Seguro de automóvil,PRIMA,1
291,Trámites vehiculares,SRV,1
292,Mantenimiento de automóvil,SERV,1
293,Reparación de automóvil,SERV,1
294,Lavado y engrasado de automóvil,SERV,1
295,Cuotas de autopistas,CUOTA,1
296,Estacionamiento,CUOTA,1
