ciudad,generico,unidad,tipo,n,precio_mediano
"Toluca, Edo. de Méx.",Transporte aéreo,VIAJE,nacional,16,1436.355
"Torreón, Coah.",Refrescos envasados,LT,otro,40,13.33
"Torreón, Coah.",Transporte aéreo,VIAJE,internacional,4,7553.26
"Torreón, Coah.",Transporte aéreo,VIAJE,nacional,12,2674.25
"Tulancingo, Hgo.",Refrescos envasados,LT,otro,20,13.955
"Tulancingo, Hgo.",Transporte aéreo,VIAJE,nacional,8,2097.0
"Veracruz, Ver.",Refrescos envasados,LT,otro,40,7.9350000000000005
"Veracruz, Ver.",Transporte aéreo,VIAJE,nacional,16,4987.68
"Villahermosa, Tab.",Refrescos envasados,LT,otro,40,10.934999999999999
"Villahermosa, Tab.",Transporte aéreo,VIAJE,nacional,16,1794.0
Área Met. de la Cd. de México,Refrescos envasados,LT,lata,20,22.54
Área Met. de la Cd. de México,Refrescos envasados,LT,otro,180,15.0
Área Met. de la Cd. de México,Transporte aéreo,VIAJE,internacional,12,7316.82
Área Met. de la Cd. de México,Transporte aéreo,VIAJE,nacional,68,1866.5700000000002
