ciudad,generico,clave,unidad,n,precio_mediano
"Acapulco, Gro.",Autobús foráneo,227,BOLETO,16,603.0
"Acapulco, Gro.",Carne de res,18,KG,136,171.125
"Acapulco, Gro.",Huevo,32,DOCENA,4,33.53
"Acapulco, Gro.",Huevo,32,PAQ,12,78.375
"Acapulco, Gro.",Jitomate,71,KG,24,24.25
"Acapulco, Gro.",Leche pasteurizada y fresca,36,LT,28,25.564999999999998
"Acapulco, Gro.",Manzana,50,KG,20,51.265
"Acapulco, Gro.",Pan blanco,8,PZA,16,5.5
"Acapulco, Gro.",Pan de caja,9,KG,20,74.07
"Acapulco, Gro.",Pollo,22,KG,52,55.75
"Acapulco, Gro.",Pollo,22,PZA,44,135.0
"Acapulco, Gro.",Refrescos envasados,101,LT,32,24.0
"Acapulco, Gro.",Tortilla de maíz,14,KG,40,27.25
"Acapulco, Gro.",Transporte aéreo,232,VIAJE,16,1808.125
"Aguascalientes, Ags.",Autobús foráneo,227,BOLETO,4,95.0
"Aguascalientes, Ags.",Autobús foráneo,227,VIAJE,16,595.0
"Aguascalientes, Ags.",Carne de res,18,KG,176,175.03
"Aguascalientes, Ags.",Huevo,32,KG,28,46.0
"Aguascalientes, Ags.",Huevo,32,PAQ,4,80.55000000000001
"Aguascalientes, Ags.",Jitomate,71,KG,60,23.875
"Aguascalientes, Ags.",Leche pasteurizada y fresca,36,LT,44,20.7
"Aguascalientes, Ags.",Manzana,50,KG,36,41.715
"Aguascalientes, Ags.",Pan blanco,8,PZA,28,7.0
"Aguascalientes, Ags.",Pan de caja,9,KG,32,82.28999999999999
"Aguascalientes, Ags.",Pollo,22,KG,104,65.0
"Aguascalientes, Ags.",Pollo,22,PZA,4,46.515
"Aguascalientes, Ags.",Refrescos envasados,101,LT,40,13.3
"Aguascalientes, Ags.",Tortilla de maíz,14,KG,72,22.0
"Aguascalientes, Ags.",Transporte aéreo,232,VIAJE,16,2391.0
"Campeche, Camp.",Autobús foráneo,227,BOLETO,16,454.0
"Campeche, Camp.",Carne de res,18,KG,212,178.75
"Campeche, Camp.",Huevo,32,DOCENA,8,33.75
"Campeche, Camp.",Huevo,32,KG,4,43.0
"Campeche, Camp.",Huevo,32,PAQ,28,68.5
"Campeche, Camp.",Jitomate,71,KG,64,25.875
