ciudad,generico,unidad,tipo,n,precio_mediano
"Tlaxcala, Tlax.",Transporte aéreo,VIAJE,nacional,8,3066.625
"Toluca, Edo. de Méx.",Refrescos envasados,LT,lata,4,47.89
"Toluca, Edo. de Méx.",Refrescos envasados,LT,otro,24,16.96
"Toluca, Edo. de Méx.",Transporte aéreo,VIAJE,internacional,4,1288.045
"Toluca, Edo. de Méx.",Transporte aéreo,VIAJE,nacional,12,1406.9099999999999
"Torreón, Coah.",Refrescos envasados,LT,otro,32,22.25
"Torreón, Coah.",Transporte aéreo,VIAJE,internacional,8,5937.88
"Torreón, Coah.",Transporte aéreo,VIAJE,nacional,8,2543.0
"Tulancingo, Hgo.",Refrescos envasados,LT,lata,4,42.22
"Tulancingo, Hgo.",Refrescos envasados,LT,otro,20,23.33
"Tulancingo, Hgo.",Transporte aéreo,VIAJE,nacional,8,2036.405
"Veracruz, Ver.",Refrescos envasados,LT,otro,36,14.0
"Veracruz, Ver.",Transporte aéreo,VIAJE,internacional,8,13751.045
"Veracruz, Ver.",Transporte aéreo,VIAJE,nacional,8,2078.25
"Villahermosa, Tab.",Refrescos envasados,LT,lata,4,175.49
"Villahermosa, Tab.",Refrescos envasados,LT,otro,32,22.915
"Villahermosa, Tab.",Transporte aéreo,VIAJE,internacional,4,13467.375
"Villahermosa, Tab.",Transporte aéreo,VIAJE,nacional,12,1859.25
Área Met. de la Cd. de México,Refrescos envasados,LT,lata,4,39.67
Área Met. de la Cd. de México,Refrescos envasados,LT,otro,68,18.33
Área Met. de la Cd. de México,Transporte aéreo,VIAJE,internacional,20,16002.800000000001
Área Met. de la Cd. de México,Transporte aéreo,VIAJE,nacional,60,1885.53
